Name,elev
E8m,282.8757019
B6m,321.2843323
E1m,295.5238037
E2m,300.8861694
B1m,346.1323242
B2m,345.4937744
B3m,333.5948486
B4m,329.8594055
B5m,324.548584
E4m,310.2019043
E5m,307.561676
E6m,291.5202942
E7m,289.2173462
E9m,277.3347473
E10m,273.6958008
E11m,270.8690186
E13m,263.9571838
E14m,257.9767761
E15m,247.765686
E17m,240.4042969
E12m,300.872467
E16m,244.8368988
